round,winner,results,player1,player2,ace1,ace2,error1,error2
Final,Roger Federer,7-6(3) 6-4 6-2,Roger Federer,Marat Safin,8,3,28,41
semi,Roger Federer,6-4 6-1 6-4,Roger Federer,Juan Carlos Ferrero,11,6,22,19
semi,Marat Safin,7-6(6) 7-6(6) 5-7 1-6 6-3,Marat Safin,Andre Agassi,33,10,48,33
quarter,Juan Carlos Ferrero,6-1 7-6(6) 7-6(5),Juan Carlos Ferrero,Hicham Arazi,19,18,52,55
quarter,Roger Federer,7-5 6-4 5-7 6-3,Roger Federer,David Nalbandian,20,5,55,30
quarter,Andre Agassi,6-2 2-0 ret.,Andre Agassi,Sebastien Grosjean,4,4,8,22
quarter,Marat Safin,2-6 6-3 7-5 6-7(0) 6-4,Marat Safin,Andy Roddick,19,18,52,55
Fourth,Hicham Arazi,6-2 6-2 6-4,Hicham Arazi,Mark Philippoussis,7,8,10,38
Fourth,Roger Federer,4-6 6-3 6-0 6-4,Roger Federer,Lleyton Hewitt,14,5,41,29
Fourth,David Nalbandian,6-4 6-2 6-1,David Nalbandian,Guillermo Canas,8,5,31,28
Fourth,Juan Carlos Ferrero,6-4 3-6 6-3 6-2,Juan Carlos Ferrero,Andrei Pavel,11,17,40,34
Fourth,Andre Agassi,7-6(3) 6-3 6-4,Andre Agassi,Paradorn Srichaphan,5,7,28,44
Fourth,Marat Safin,7-6(3) 6-3 6-7(6) 6-3,Marat Safin,James Blake,20,2,35,50
Fourth,Andy Roddick,6-1 6-2 6-3,Andy Roddick,Sjeng Schalken,14,1,19,31
Fourth,Sebastien Grosjean,6-4 3-6 6-4 6-1,Sebastien Grosjean,Robby Ginepri,4,3,28,50
Third,Roger Federer,6-3 6-0 6-1,Roger Federer,Todd Reid,5,1,29,31
Third,Hicham Arazi,2-6 7-6(2) 6-2 6-1,Hicham Arazi,Albert Costa,10,12,40,56
Third,Andrei Pavel,4-6 3-6 7-5 7-6(3) 6-4,Andrei Pavel,Jiri Novak,15,7,60,55
Third,Guillermo Canas,6-7(5) 5-7 7-6(3) 7-5 9-7,Guillermo Canas,Tim Henman,4,9,24,74
Third,David Nalbandian,6-2 6-4 7-5,David Nalbandian,Wayne Ferreira,3,3,24,32
Third,Juan Carlos Ferrero,6-1 7-6(4) 6-7(5) 6-4,Juan Carlos Ferrero,Joachim Johansson,14,19,17,52
Third,Lleyton Hewitt,7-6(2) 7-6(5) 6-2,Lleyton Hewitt,Rafael Nadal,9,1,37,36
Third,Mark Philippoussis,6-4 7-6(2) 6-2,Mark Philippoussis,Mario Ancic,9,10,29,43
Third,James Blake,6-1 6-3 6-2,James Blake,Olivier Patience,7,3,18,21
Third,Robby Ginepri,6-2 6-3 6-4,Robby Ginepri,Nicolas Escude,10,7,22,30
Third,Andre Agassi,6-0 6-3 6-3,Andre Agassi,Thomas Enqvist,9,5,21,46
Third,Marat Safin,7-5 1-6 4-6 6-0 7-5,Marat Safin,Todd Martin,9,10,32,43
Third,Paradorn Srichaphan,6-3 7-5 6-4,Paradorn Srichaphan,Gustavo Kuerten,6,7,22,20
Third,Sjeng Schalken,7-6(1) 6-4 6-1,Sjeng Schalken,Jurgen Melzer,1,3,26,64
Third,Sebastien Grosjean,2-6 6-4 6-1 6-3,Sebastien Grosjean,Dominik Hrbaty,10,1,42,39
Third,Andy Roddick,6-2 6-0 6-2,Andy Roddick,Taylor Dent,4,2,11,26
Second,Hicham Arazi,3-6 6-1 6-2 ret.,Hicham Arazi,Cyril Saulnier,1,2,17,41
Second,Todd Reid,6-3 6-4 4-6 6-7(6) 6-4,Todd Reid,Sargis Sargsian,7,7,45,53
Second,Mario Ancic,6-4 1-6 6-3 6-7(4) 7-5,Mario Ancic,Alex Corretja,8,2,82,60
Second,Mark Philippoussis,4-6 6-3 6-4 6-2,Mark Philippoussis,Fabrice Santoro,17,9,41,15
Second,Rafael Nadal,6-4 3-6 7-5 6-1,Rafael Nadal,Thierry Ascione,0,5,40,73
Second,Roger Federer,6-2 6-3 6-4,Roger Federer,Jeff Morrison,5,8,15,14
Second,Tim Henman,6-2 4-6 6-3 6-0,Tim Henman,Radek Stepanek,3,3,25,25
Second,Albert Costa,6-7(5) 7-5 4-6 6-4 8-6,Albert Costa,Wayne Arthurs,11,39,25,82
Second,Guillermo Canas,6-1 4-6 2-6 7-6(2) 6-4,Guillermo Canas,Agustin Calleri,13,12,29,67
Second,David Nalbandian,6-1 6-0 6-3,David Nalbandian,Florian Mayer,4,1,31,44
Second,Jiri Novak,6-2 7-6(3) 6-4,Jiri Novak,Jan Vacek,4,3,28,56
Second,Wayne Ferreira,2-6 6-3 6-4 6-4,Wayne Ferreira,David Sanchez-Munoz,8,1,60,25
Second,Joachim Johansson,7-6(5) 6-3 7-5,Joachim Johansson,Alberto Martin,10,2,35,18
Second,Andrei Pavel,6-4 6-4 6-2,Andrei Pavel,Glenn Weiner,9,19,10,29
Second,Juan Carlos Ferrero,6-4 7-6(3) 7-5,Juan Carlos Ferrero,Filippo Volandri,2,2,34,53
Second,Lleyton Hewitt,1-6 6-1 6-4 6-1,Lleyton Hewitt,Karol Kucera,3,5,34,44
Second,Jurgen Melzer,6-3 6-4 6-3,Jurgen Melzer,Galo Blanco,11,3,29,30
Second,Olivier Patience,7-6(2) 6-7(7) 6-3 6-2,Olivier Patience,Nikolay Davydenko,8,4,57,57
Second,Andy Roddick,6-2 6-2 6-3,Andy Roddick,Bohdan Ulihrach,20,2,16,30
Second,Robby Ginepri,6-4 6-3 6-3,Robby Ginepri,Chris Guccione,11,11,9,21
Second,Taylor Dent,3-6 6-4 4-6 7-6(4) 7-5,Taylor Dent,Juan Ignacio Chela,16,3,77,18
Second,Paradorn Srichaphan,6-3 ret.,Paradorn Srichaphan,Jerome Golmard,4,3,8,8
Second,James Blake,6-3 7-6(4) 2-6 6-1,James Blake,Nicolas Lapentti,11,10,41,29
Second,Gustavo Kuerten,7-5 6-7(5) 6-4 6-3,Gustavo Kuerten,Ivan Ljubicic,8,17,31,76
Second,Dominik Hrbaty,6-1 7-5 6-0,Dominik Hrbaty,Gaston Gaudio,3,1,24,27
Second,Sjeng Schalken,6-3 6-2 5-7 6-1,Sjeng Schalken,David Ferrer,2,0,29,78
Second,Todd Martin,7-6(4) 7-6(4) 7-6(7),Todd Martin,Ivo Karlovic,11,33,17,28
Second,Marat Safin,7-6(5) 6-4 4-6 6-4,Marat Safin,Jarkko Nieminen,23,1,47,34
Second,Andre Agassi,6-0 6-2 6-4,Andre Agassi,Tomas Berdych,7,12,10,35
Second,Nicolas Escude,6-3 7-6(4) 6-4,Nicolas Escude,Robin Soderling,17,9,21,27
Second,Thomas Enqvist,7-5 4-6 6-3 6-4,Thomas Enqvist,Karol Beck,8,17,65,57
Second,Sebastien Grosjean,6-4 6-3 6-2,Sebastien Grosjean,Jan-Michael Gambill,8,8,17,27
First,Alex Corretja,6-4 1-6 6-3 6-4,Alex Corretja,Martin Verkerk,4,25,20,51
First,Filippo Volandri,6-3 4-6 6-3 6-4,Filippo Volandri,Nicolas Kiefer,4,10,37,48
First,Todd Reid,6-2 6-3 6-2,Todd Reid,Vadim Kutsenko,6,2,17,38
First,Thierry Ascione,7-5 6-1 7-6(3),Thierry Ascione,Felix Mantilla,9,7,41,39
First,Mario Ancic,6-7(4) 6-4 3-6 6-4 6-3,Mario Ancic,Raemon Sluiter,15,8,50,49
First,Florian Mayer,7-5 6-4 6-3,Florian Mayer,Richard Gasquet,6,9,13,34
First,David Nalbandian,6-2 6-1 6-4,David Nalbandian,Ricardo Mello,8,4,29,34
First,Hicham Arazi,7-5 2-6 6-0 6-3,Hicham Arazi,Olivier Mutis,5,5,29,49
First,Andrei Pavel,6-7(2) 6-3 6-2 7-6(2),Andrei Pavel,Max Mirnyi,9,16,11,25
First,Radek Stepanek,6-7(3) 3-6 6-2 6-3 6-3,Radek Stepanek,Davide Sanguinetti,17,6,67,58
First,Jan Vacek,6-2 3-6 6-3 6-4,Jan Vacek,Ruben Ramirez-Hidalgo,8,4,48,47
First,Jeff Morrison,6-4 6-2 6-4,Jeff Morrison,Dennis Van Scheppingen,17,1,26,27
First,Sargis Sargsian,6-2 6-3 6-1,Sargis Sargsian,Jonas Bjorkman,2,1,19,33
First,Glenn Weiner,7-6(3) 4-6 6-3 3-6 6-4,Glenn Weiner,Jeff Salzenstein,34,16,30,28
First,Alberto Martin,3-6 4-6 7-6(3) 6-4 6-2,Alberto Martin,Feliciano Lopez,4,27,34,83
First,Wayne Ferreira,6-4 3-6 7-6(3) 6-1,Wayne Ferreira,Victor Hanescu,5,5,35,37
First,Roger Federer,6-3 6-4 6-0,Roger Federer,Alex Jr. Bogomolov,13,0,25,22
First,Mark Philippoussis,7-6(6) 6-2 7-6(4),Mark Philippoussis,Thomas Johansson,19,12,27,26
First,Tim Henman,6-2 6-4 6-2,Tim Henman,Jean-Rene Lisnard,2,3,17,24
First,Juan Carlos Ferrero,6-0 6-1 6-1,Juan Carlos Ferrero,Albert Montanes,7,0,15,32
First,Agustin Calleri,6-1 3-6 6-3 7-5,Agustin Calleri,Christophe Rochus,17,5,53,28
First,Rafael Nadal,6-1 6-2 6-2,Rafael Nadal,Michal Tabara,5,4,25,34
First,David Sanchez-Munoz,6-7(1) 7-6(5) 4-6 6-4 6-3,David Sanchez-Munoz,Wesley Moodie,3,15,30,59
First,Joachim Johansson,6-4 7-6(3) 6-4,Joachim Johansson,Alexander Popp,17,12,17,16
First,Cyril Saulnier,7-6(7) 6-2 6-4,Cyril Saulnier,Guillermo Coria,10,6,50,36
First,Karol Kucera,6-2 6-3 6-4,Karol Kucera,Xavier Malisse,7,1,29,43
First,Fabrice Santoro,7-5 4-6 7-5 6-1,Fabrice Santoro,Peter Luczak,17,5,18,39
First,Guillermo Canas,6-2 6-2 6-4,Guillermo Canas,Sebastien de Chaunac,1,1,27,56
First,Wayne Arthurs,7-6(2) 6-4 6-7(2) 6-7(5) 6-2,Wayne Arthurs,Roko Karanusic,23,10,55,25
First,Jiri Novak,6-3 6-3 7-5,Jiri Novak,Olivier Rochus,5,2,19,32
First,Lleyton Hewitt,6-2 6-4 0-1 ret.,Lleyton Hewitt,Cecil Mamiit,4,3,22,23
First,Albert Costa,6-4 6-3 6-4,Albert Costa,Greg Rusedski,3,8,14,29
First,Gustavo Kuerten,5-7 6-0 6-1 2-6 8-6,Gustavo Kuerten,John van Lottum,19,5,52,64
First,Andre Agassi,6-1 6-3 6-4,Andre Agassi,Todd Larkham,8,2,33,25
First,Andy Roddick,6-2 7-5 7-6(4),Andy Roddick,Fernando Gonzalez,20,10,28,42
First,Ivo Karlovic,7-6(0) 7-6(5) 7-6(4),Ivo Karlovic,Mardy Fish,21,12,40,20
First,Tomas Berdych,6-4 6-2 5-7 6-3,Tomas Berdych,Nicolas Mahut,18,10,44,51
First,Bohdan Ulihrach,6-4 3-6 6-2 6-1,Bohdan Ulihrach,Lars Burgsmuller,3,10,40,29
First,Jurgen Melzer,6-1 6-2 6-2,Jurgen Melzer,Tomas Behrend,4,2,18,45
First,Jerome Golmard,7-6(3) 6-4 6-1,Jerome Golmard,Albert Portas,8,6,26,40
First,Taylor Dent,6-2 6-1 2-1 ret.,Taylor Dent,Fernando Verdasco,3,0,19,21
First,Sebastien Grosjean,6-1 6-4 7-5,Sebastien Grosjean,Mikhail Youzhny,3,3,28,40
First,Gaston Gaudio,6-3 6-2 7-6(6),Gaston Gaudio,Tommy Robredo,3,6,32,52
First,Nicolas Escude,6-3 7-6(5) 6-2,Nicolas Escude,Hyung-Taik Lee,15,2,27,36
First,Todd Martin,4-6 4-6 7-6(5) 7-6(4) 6-3,Todd Martin,Antony Dupuis,26,26,50,56
First,Nicolas Lapentti,6-1 6-3 6-1,Nicolas Lapentti,Oscar Hernandez,3,1,20,47
First,Sjeng Schalken,7-5 6-3 6-1,Sjeng Schalken,Kenneth Carlsen,3,6,22,48
First,Galo Blanco,4-1 ret.,Galo Blanco,Younes El Aynaoui,2,3,5,16
First,Paradorn Srichaphan,7-5 6-4 6-0,Paradorn Srichaphan,Jose Acasuso,11,7,20,36
First,Dominik Hrbaty,6-3 6-3 6-3,Dominik Hrbaty,Flavio Saretta,4,7,34,55
First,Jan-Michael Gambill,6-2 6-3 ret.,Jan-Michael Gambill,Gregory Carraz,18,2,9,13
First,Robin Soderling,4-6 4-6 7-5 6-3 6-4,Robin Soderling,Rainer Schuettler,10,12,72,45
First,Thomas Enqvist,4-6 6-4 6-4 7-6(6),Thomas Enqvist,Vince Spadea,10,10,69,39
First,Marat Safin,6-2 3-6 6-3 6-4,Marat Safin,Brian Vahaly,19,1,55,31
First,Chris Guccione,6-3 7-6(3) 6-2,Chris Guccione,Alun Jones,11,5,33,20
First,Jarkko Nieminen,6-1 6-7(5) 6-2 6-3,Jarkko Nieminen,Nicolas Massu,4,5,45,75
First,Ivan Ljubicic,7-6(2) 6-4 5-7 6-2,Ivan Ljubicic,Dmitry Tursunov,5,7,38,50
First,David Ferrer,7-6(4) 6-1 6-3,David Ferrer,Gilles Muller,4,4,27,45
First,Karol Beck,6-4 6-0 2-6 6-4,Karol Beck,Stefan Koubek,7,3,50,44
First,Olivier Patience,4-6 4-6 7-6(4) 6-1 6-2,Olivier Patience,Igor Andreev,7,6,41,74
First,Nikolay Davydenko,6-7(6) 4-6 6-4 6-1 6-2,Nikolay Davydenko,Arnaud Clement,10,8,51,61
First,Robby Ginepri,7-5 6-3 6-3,Robby Ginepri,Luis Horna,16,12,24,36
First,James Blake,6-1 6-4 6-4,James Blake,Ivan Miranda,8,2,41,21
First,Juan Ignacio Chela,6-4 6-3 3-6 6-3,Juan Ignacio Chela,Irakli Labadze,2,2,16,58
